AC_NO,NAME,PARTY,VOTES,AC_NAME
1,CHHABILBHAI NARANBHAI PATEL,INC,60704,ABDASA
2,CHHEDA TARACHAND JAGSHIBHAI,BJP,61984,MANDVI
3,DR. NIMABEN AACHARYA,BJP,69174,BHUJ
4,AHIR VASANBHAI GOPALBHAI,BJP,64789,ANJAR
5,MAHESHWARI RAMESH VACHCHHRAJ,BJP,72988,GANDHIDHAM
6,VAGHAJIBHAI DHARAMSHIBHAI PATEL,BJP,55280,RAPAR
7,SHANKARBHAI LAGDHIRBHAI PATEL (CHAUDHARY),BJP,72640,VAV
8,PARABATBHAI SAVABHAI PATEL,BJP,68517,THARAD
9,JOITABHAI KASNABHAI PATEL,INC,87460,DHANERA
10,KHARADI KANTIBHAI KALABHAI,INC,73751,DANTA
11,MANILAL JETHABHAI VAGHELA,INC,90375,VADGAM
12,MAHESHKUMAR AMRUTLAL PATEL,INC,75097,PALANPUR
13,VAGHELA LILADHARBHAI KHODAJI,BJP,66294,DEESA
14,CHAUHAN KESHAJI SHIVAJI,BJP,76265,DEODAR
15,KHANPURA DHARSHIBHAI LAKHABHAI,INC,73900,KANKREJ
16,THAKOR NAGARJI HARCHANDJI,BJP,69493,RADHANPUR
17,DILIPKUMAR VIRAJIBHAI THAKOR,BJP,83462,CHANASMA
18,DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL),BJP,67224,PATAN
19,BALVANTSINH CHANDANSINH RAJPUT,INC,87518,SIDHPUR
20,DHABHI BHARATSIGHJI SANKARJI,BJP,68195,KHERALU
21,NARAYANBHAI LALLUDAS PATEL,BJP,75708,UNJHA
22,RUSHIKESH GANESHBHAI PATEL,BJP,76185,VISNAGAR
23,RAJANIKANT SOMABHAI PATEL,BJP,68447,BECHARAJI
24,CHAVADA RAMESHBHAI MAGANBHAI,INC,84276,KADI
25,NITINKUMAR RATILAL PATEL,BJP,90134,MEHSANA
26,PRAHLADBHAI ISHWARBHAI PATEL,INC,70729,VIJAPUR
27,CHAVDA RAJENDRASINH RANJITSINH (RAJUBHAI CHAVDA),INC,85008,HIMATNAGAR
28,RAMANLAL ISHVARLAL VORA,BJP,90279,IDAR
29,ASHWIN KOTVAL,INC,88488,KHEDBRAHMA
30,ANIL JOSHIYARA,INC,95799,BHILODA
31,THAKOR RAJENDRASINH SHIVSINH,INC,88879,MODASA
32,VAGHELA MAHENDRASINH SHANKARSINH,INC,74646,BAYAD
33,BARAIYA MAHENDRASINH KACHARSINH ( ADVOCATE ),INC,76097,PRANTIJ
34,RATHOD KAMINIBA BHUPENDRASINH,INC,61043,DEHGAM
35,THAKOR SHAMBHUJI CHELAJI,BJP,87999,GANDHINAGAR SOUTH
36,ASHOKKUMAR RANCHHODBHAI PATEL,BJP,73551,GANDHINAGAR NORTH
37,CHAUDHARI AMITBHAI HARISINGBHAI,INC,78068,MANSA
38,THAKOR BALDEVJI CHANDUJI,INC,64757,KALOL
39,TEJASHREEBEN DILIPKUMAR PATEL,INC,84930,VIRAMGAM
40,KARAMSIBHAI VIRJIBHAI PATEL,INC,73453,SANAND
41,ANANDIBEN MAFATBHAI PATEL,BJP,154599,GHATLODIA
42,CHAUHAN KISHORSINH BABULAL (KISHOR CHAUHAN),BJP,113507,VEJALPUR
43,PRADIPSINH BHAGWATSINH JADEJA,BJP,95580,VATVA
44,SHRI RAKESH SHAH,BJP,106631,ELLIS BRIDGE
45,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),BJP,103988,NARANPURA
46,PANCHAL JAGDISH ISHWARBHAI,BJP,88286,NIKOL
47,WADHWANI NIRMALABEN SUNILBHAI,BJP,96333,NARODA
48,KAKADIYA VALLABHBHAI GOBARBHAI (VALLABHBHAI HIRAWALA),BJP,88731,THAKKARBAPA NAGAR
49,RAJPUT JAGRUPSINH GIRDANSINH,BJP,51058,BAPUNAGAR
50,HASMUKHBHAI SOMABHAI PATEL,BJP,108683,AMRAIWADI
51,GYASUDDIN HABIBUDDIN SHEKH,INC,60967,DARIAPUR
52,BHATT BHUSHAN ASHOK,BJP,48058,JAMALPUR-KHADIA
53,NARENDRA MODI,BJP,120470,MANINAGAR
54,SHAILESH MANUBHAI PARMAR,INC,73573,DANILIMDA
55,ARVINDKUMAR GANDALAL PATEL (ARVIND DALAL),BJP,107036,SABARMATI
56,RAJANIKANT MOHANLAL PATEL (R.M. PATEL),BJP,76829,ASARWA
57,BABUBHAI JAMNADAS PATEL,BJP,95813,DASKROI
58,CHUDASAMA BHUPENDRASINH MANUBHA,BJP,75242,DHOLKA
59,LALJIBHAI CHATURBHAI KOLIPATEL,BJP,77573,DHANDHUKA
60,MAKWANA PUNAMBHAI KALABHAI,BJP,65404,DASADA
61,SOMABHAI GANDALAL KOLIPATEL,INC,72203,LIMBDI
62,DOSHI VARSHABEN NARENDRABHAI,BJP,83049,WADHWAN
63,SHAMJIBHAI BHIMJIBHAI CHAUHAN,BJP,72111,CHOTILA
64,KAVADIA JAYANTIBHAI RAMJIBHAI,BJP,87621,DHRANGADHRA
65,AMRUTIYA KANTILAL SHIVABHAI,BJP,77386,MORVI
66,KUNDARIYA MOHANBHAI KALYANJIBHAI,BJP,63630,TANKARA
67,PEERZADA MAHMAD JAVID ABDUL MUTLEEB,INC,59038,WANKANER
68,RAJGURU INDRANIL SANJAYBHAI,INC,60877,RAJKOT EAST
69,VAJUBHAI RUDABHAI VALA,BJP,90405,RAJKOT WEST
70,GOVIND PATEL,BJP,77308,RAJKOT SOUTH
71,BHANUBEN MANOHARBHAI BABARIYA,BJP,57753,RAJKOT RURAL
72,GOHEL BHOLABHAI BHIKHABHAI,INC,78055,JASDAN
73,JADEJA JAYRAJSINH TEMUBHA,BJP,79709,GONDAL
74,RADADIYA JAYESHBHAI VITTHALBHAI,INC,85827,JETPUR
75,RADADIYA VITHALBHAI HANSRAJBHAI,INC,76189,DHORAJI
76,CHAVDA MEGHJIBHAI AMARABHAI,BJP,49027,KALAWAD
77,RAGHAVJIBHAI HANSRAJBHAI PATEL,INC,60499,JAMNAGAR RURAL
78,JADEJA DHARMENDRASINH MERUBHA (HAKUBHA JADEJA),INC,61642,JAMNAGAR NORTH
79,TRIVEDI VASUBEN NARENDRABHAI,BJP,55894,JAMNAGAR SOUTH
