AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Abdasa,JADEJA PRADHYUMANSINH MAHIPATSINH,INC,73312
1,Abdasa,CHHABILBHAI NARANBHAI PATEL,BJP,63566
1,Abdasa,RAJESH SHAMJI MAHESHWARI,BMP,4122
1,Abdasa,SONI KAUSHIKBHAI BABULAL,IND,1851
1,Abdasa,VAGHELA LAXMANBHAI KANJI,BSP,1400
1,Abdasa,RAM MANGAL GADHAVI,IND,733
1,Abdasa,DHARAMSHI SHARAD SHIVJI,IND,655
1,Abdasa,UMAR OSMAN SANGAR,IND,453
1,Abdasa,KOLI SHANKARBHAI ALIBHAI,VPP,331
1,Abdasa,KHETANI VASANTBHAI VALJIBHAI,RDP,310
1,Abdasa,AMRUT LADHABHAI PATEL,IND,277
1,Abdasa,None of the Above,NOTA,3251
2,Mandvi,JADEJA VIRENDRASINH BAHADURSINH,BJP,79469
2,Mandvi,GOHIL SHAKTISINHJI HARICHANDRASINHJI,INC,70423
2,Mandvi,RANGANI MAHESHBHAI KARSHANBHAI,IND,1282
2,Mandvi,KENEEYA BHANJIBHAI KHIMJIBHAI,BSP,1154
2,Mandvi,RANGANI VARSHABEN MAHESHBHAI,IND,1110
2,Mandvi,SAMEJA ABDULKARIM AMAD,BMP,1105
2,Mandvi,SHAH VIJAYKUMAR CHIMANLAL,IND,1099
2,Mandvi,SAIYAD IMAMSHA LATIFSHA,IND,559
2,Mandvi,JOSHI SHAILESHBHAI BHAVANISANKAR,SP,541
2,Mandvi,RAMBHAI DHANRAJBHAI GADHAVI,IND,434
2,Mandvi,VORA JAYESHBHAI PRAVEENCHANDRA,SHI,221
2,Mandvi,BODA VASANTBHAI MORARJIBHAI,IND,211
2,Mandvi,DHRUIYA GULAMHUSEN SALEMAMAD,IND,179
2,Mandvi,JAT AMIN KASAM,IND,178
2,Mandvi,ANVARSHA BHACHHAMIYA SAIYAD,IND,176
2,Mandvi,JOSHI PRATEEK YOGESHBHAI,IND,120
2,Mandvi,KANERIYA BHAVIN GIRDHARBHAI,IND,114
2,Mandvi,None of the Above,NOTA,1685
3,Bhuj,ACHARYA DR.NIMABEN BHAVESHBHAI,BJP,86532
3,Bhuj,CHAKI ADAMBHAI BUDHABHAI,INC,72510
3,Bhuj,SINDHAL PRAKASH HARILAL,IND,1977
3,Bhuj,NODE KASAM MAHAMAD,BSP,1148
3,Bhuj,MALSHI RANA,IND,840
3,Bhuj,SODHA MADHUBHA RANAJI,SHI,716
3,Bhuj,SHAH PARESH VRAJLAL,IND,607
3,Bhuj,KOKA RAJESH KANTILAL,IND,378
3,Bhuj,GOHIL JIGNABA KARUBHA,RKSP,337
3,Bhuj,MAKWANA SIKANDAR ISMAIL,IND,274
3,Bhuj,TEJAS  ALIAS SACHIN RAJGOR,IND,267
3,Bhuj,BABU SAMA,IND,226
3,Bhuj,KHATRI MUNAF ABUBAKAR,IND,196
3,Bhuj,None of the Above,NOTA,4581
4,Anjar,AHIR VASANBHAI GOPALBHAI,BJP,75331
4,Anjar,V. K. HUMBAL,INC,64018
4,Anjar,VEERA HARIBHAI SAMANTBHAI,IND,4677
4,Anjar,HADIYA PRAKASHBHAI HIRJIBHAI (AHIR),IND,2410
4,Anjar,MANGALBHAI KARAMSHIBHAI RABARI,BMP,1534
4,Anjar,KOCHARA JAGDISHBHAI KANJIBHAI,BSP,1466
4,Anjar,SHEIKH MUSTAFA NURSHA,,999
4,Anjar,HUSSEN ALIMAMAD KHARA,IND,944
4,Anjar,MALSATTAR DHANJI SHIVJI,IND,349
4,Anjar,JADEJA JAYENDRASINH BALWANTSINH,IND,317
4,Anjar,DATANIYA MULJI REVA,IND,286
4,Anjar,CHAUHAN VIRAL PREMJI,IND,238
4,Anjar,None of the Above,NOTA,3601
5,Gandhidham,MAHESHWARI MALTI KISHOR,BJP,79713
5,Gandhidham,KISHOR GANGJIBHAI PINGOL,INC,59443
5,Gandhidham,BHANJIBHAI MYAJARBHAI DUNGARIYA,BMP,1965
5,Gandhidham,BHARYA JUMABHAI SAVALI,BSP,1233
5,Gandhidham,DANICHA GOVINDBHAI PUNAMCHAND,AAP,1101
5,Gandhidham,SONDARVA BALUBEN MAHESHBHAI,IND,1087
5,Gandhidham,VAGHELA SOMABHAI RUPABHAI,IND,1037
5,Gandhidham,RAJESH LADHABHAI CHAVDA,IND,561
5,Gandhidham,RAMESH MAVABHAI SOLANKI,IND,436
5,Gandhidham,ADVOCATE GOVIND DAFDA,IND,371
5,Gandhidham,BHARAT UMAR MARU,IND,331
5,Gandhidham,VANKAR RAMESHBHAI MAGABHAI,AIHCP,219
5,Gandhidham,BALIYA LALJIBHAI KARABHAI,APSP,196
5,Gandhidham,VANJARA HIRABEN DALPATBHAI,RKSP,177
5,Gandhidham,None of the Above,NOTA,3578
6,Rapar,AARETHIYA SANTOKBEN BHACHUBHAI,INC,63814
6,Rapar,PANKAJBHAI ANOPCHAND MAHETA,BJP,48605
6,Rapar,GADA BABULAL MEGHJI,NCP,2756
6,Rapar,MAHADEVBHAI KHUMANNBHAI BAGADA,BMP,2590
6,Rapar,PARMAR VALJIBHAI DEVJIBHAI,IND,1720
6,Rapar,CHAVADA SUDHA  BAKUL,BSP,1208
6,Rapar,KOLI MEGHABHAI JIVABHAI,VPP,1020
6,Rapar,JADEJA  NARENDRASINH TAPUBHA,IND,971
6,Rapar,DABHI  MOHANBHAI  TULSHIBHAI,IND,959
6,Rapar,GAMI RUDIBEN BABUBHAI,IND,700
6,Rapar,KOLI RAMESH RAVABHAI,IND,444
6,Rapar,INDRASINH  GOVUBHA  JADEJA,IND,393
6,Rapar,MAKAVANA RAMESHBHAI KUMBHABHAI,AIHCP,318
6,Rapar,None of the Above,NOTA,4614
7,Vav,THAKOR GENIBEN NAGAJI,INC,102328
7,Vav,CHAUDHARY SHANKARBHAI LAGDHIRBHAI,BJP,95673
7,Vav,BRAHMKSHATRIYA BHAGVATIBEN KHETSINHBHAI,IND,2643
7,Vav,PARMAR VAJRAMBHAI NAVABHAI,BSP,2373
7,Vav,THAKOR BHAVSINGJI RAMCHANDJI,IND,791
7,Vav,GOHIL RANAJI NAGJI,SHI,691
7,Vav,KALAL NAGJIBHAI SHANKARBHAI,IND,560
7,Vav,None of the Above,NOTA,3765
8,Tharad,PATEL PARBATBHAI SAVABHAI,BJP,65279
8,Tharad,RAJPUT DAMRAJI DEVJIBHAI,INC,54401
8,Tharad,PATEL MAVJIBHAI CHATRABHAI,IND,40699
8,Tharad,PATEL MAGHABHAI  ARJANBHAI,IND,2048
8,Tharad,PARJAPATI  GANESHBHAI DAMRABHAI,,1714
8,Tharad,GALSAR NILABHAI HEMABHAI,BSP,1647
8,Tharad,PATEL PADMABHAI DHANABHAI,IND,762
8,Tharad,None of the Above,NOTA,2584
9,Dhanera,PATEL NATHABHAI HEGOLABHAI,INC,82909
9,Dhanera,DESAI MAVJIBHAI MAGANBHAI,BJP,80816
9,Dhanera,RABARI TEJABHAI NETHIBHAI,AIHCP,2802
9,Dhanera,DABHI RUPABHAI CHENABHAI,BSP,2790
9,Dhanera,RAJPUT NARSINHJI BABUJI,IND,1836
9,Dhanera,None of the Above,NOTA,2341
10,Danta,KANTIBHAI KALABHAI KHARADI,INC,86129
10,Danta,KODARVI MALJIBHAI NARAYANBHAI,BJP,61477
10,Danta,BHIL KALURAM MANGALJI,IND,2569
10,Danta,DHRANGI MANHARBHAI BHOYLABHAI,NCP,2285
10,Danta,KANABHAI CHUNABHAI MANCHHATAR,GHCP,1197
10,Danta,PARMAR BHURABHAI MANABHAI,IND,1109
10,Danta,NISARTA RASILABEN KHATARABHAI,IND,896
10,Danta,DUNGAISA VIRMABHAI KESHRABHAI,IND,396
10,Danta,SOLANKI SOMABHAI BHARMABHAI,,361
10,Danta,None of the Above,NOTA,6461
11,Vadgam,JIGNESHKUMAR NATVARLAL MEVANI,IND,95497
11,Vadgam,CHAKRAVARTI VIJAYKUMAR HARKHABHAI,BJP,75801
11,Vadgam,MAKWANA NARENDRAKUMAR PUJABHAI,IND,3711
11,Vadgam,ASHVINBHAI DOLATBHAI PARMAR,IND,3175
11,Vadgam,JADAV PUSHPABEN RAJESHBHAI,BSP,1263
11,Vadgam,CHAUHAN GANESHBHAI LAVJIBHAI,IND,1121
11,Vadgam,VANSOLA NILESHKUMAR PRAVINBHAI,BMP,1119
11,Vadgam,SHEKHALIYA VIKRAMBHAI DAHYABHAI,IND,1038
11,Vadgam,SOLANKI TARUNCHANDRA PREMJIBHAI,GHCP,548
11,Vadgam,BHATIYA ARVINDKUMAR KHEMABHAI,,478
11,Vadgam,None of the Above,NOTA,4255
12,Palanpur,PATEL MAHESHKUMAR AMRUTLAL,INC,91512
12,Palanpur,PRAJAPATI LALJIBHAI KANJIBHAI,BJP,73919
12,Palanpur,FOSHI SHIVRAMBHAI MAGANBHAI,NCP,1057
12,Palanpur,VADNATHANI JAYANTIBHAI UMEDBHAI,IND,1056
12,Palanpur,PARMAR AMARATBHAI DHARMABHAI,BSP,974
12,Palanpur,SHRIMALI ASHOKBHAI BALCHANDBHAI,IND,846
12,Palanpur,PARMAR SURESHBHAI RAMJIBHAI,IND,571
12,Palanpur,PATANI SHANTABEN NARANBHAI,IND,505
12,Palanpur,NABHANI RAMESHKUMAR KHEMRAJBHAI,AAP,484
12,Palanpur,PATANI MAHESHKUMAR NARANBHAI,IND,358
12,Palanpur,DAVE NILESHKUMAR KANAIYALAL,IND,227
12,Palanpur,PARMAR CHHAGANCHANDRARAJ DHANABHAI,IND,203
12,Palanpur,PRAJAPATI AMARABHAI PUJABHAI,,195
12,Palanpur,MEJIYATAR GOVINDBHAI UMABHAI,RSPS,95
12,Palanpur,None of the Above,NOTA,3659
13,Deesa,PANDYA SHASHIKANT MAHOBATRAM,BJP,85411
13,Deesa,GOVABHAI HAMIRABHAI RABARI,INC,70880
13,Deesa,VAGHELA BAHADURSINH DADUBHA,IND,15912
13,Deesa,THERVADIYA SHIVAJI PATHUJI,IND,1113
13,Deesa,SOLANKI DINESHKUMAR ALJIBHAI,BSP,977
13,Deesa,PRAJAPATI KANUBHAI LILABHAI,,791
13,Deesa,THAKOR PARBATJI VALJIBHAI,IND,472
13,Deesa,THAKOR RAMANBHAI SARDARJI,IND,439
13,Deesa,PUROHIT SHYAMABEN NARANBHAI,,261
13,Deesa,None of the Above,NOTA,3531
14,Deodar,BHURIYA SHIVABHAI AMRABHAI,INC,80432
14,Deodar,CHAUHAN KESHAJI SHIVAJI,BJP,79460
14,Deodar,HIRAJI PRAHLADJI VAGHELA,BMP,2049
14,Deodar,JIVANBHAI KARSANBHAI JOSHI,IND,1697
14,Deodar,None of the Above,NOTA,2988
15,Kankrej,KIRTISINH PRABHATSINH VAGHELA,BJP,95131
15,Kankrej,JALERA DINESHJI DHARSIJI,INC,86543
15,Kankrej,THAKOR LEBUJI BHUDARJI,IND,3037
15,Kankrej,MAKVANA VAGHABHAI MAGANBHAI,BSP,1952
15,Kankrej,DESAI ISHVARBHAI  MAHADEVBHAI,AIHCP,1043
15,Kankrej,None of the Above,NOTA,3881
16,Radhanpur,ALPESH KHODAJI THAKOR,INC,85777
16,Radhanpur,SOLANKI LAVINGJI MULJIJI THAKOR,BJP,70920
16,Radhanpur,RATILAL KAMABHAI,IND,5117
16,Radhanpur,DR.VISHNU ZULA,IND,4769
16,Radhanpur,SONAJI VELAJI THAKOR,BSP,1773
16,Radhanpur,NATHALAL K NIRASHRIT THAKOR,IND,1492
16,Radhanpur,KARIYA KALPESHBHAI KARSHANBHAI,,1250
16,Radhanpur,PARMAR MOHANBHAI MAGHABHAI,IND,1009
16,Radhanpur,THAKOR MERAJI KACHARAJI,IND,731
16,Radhanpur,CHHAGANBHAI NARANBHAI PRAJAPATI,IND,523
16,Radhanpur,GOHIL HARCHANBHAI AALABHAI,BMP,439
16,Radhanpur,CHAUDHARI PRAKASHBHAI RUGNATHBHAI,IND,430
16,Radhanpur,THAKKAR KIRTIKUMAR ISHVARLAL,IND,390
16,Radhanpur,THEBA GULAMHUSEN RASULKHAN,GHCP,382
16,Radhanpur,CHANDI ASHVINKUMAR SHIVPRASAD,SHI,344
16,Radhanpur,GAUSWAMI LALGIRI KHENGARGIRI,IND,255
16,Radhanpur,ATULKUMAR MAYARAMBHAI PUJARA,IND,237
16,Radhanpur,None of the Above,NOTA,1632
