AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Churah,HANS RAJ,BJP,28293
1,Churah,SURENDER BHARDWAJ,INC,23349
1,Churah,NAND KUMAR,SP,442
1,Churah,DES RAJ,IND,425
1,Churah,None of the Above,NOTA,505
2,Bharmour     ,JIA LAL,BJP,25744
2,Bharmour     ,THAKUR SINGH BHARMOURI,INC,18395
2,Bharmour     ,LALIT THAKUR,IND,6255
2,Bharmour     ,JANAM SINGH,IND,769
2,Bharmour     ,None of the Above,NOTA,723
3,Chamba        ,PAWAN NAYYAR,BJP,26763
3,Chamba        ,NEERAJ NAYAR,INC,24884
3,Chamba        ,DR. D. K. SONI,IND,725
3,Chamba        ,BAL KRISHAN CHAUHAN,IND,649
3,Chamba        ,PARAS RAM BHARDWAJ,BSP,562
3,Chamba        ,None of the Above,NOTA,674
4,Dalhousie,ASHA KUMARI,INC,24224
4,Dalhousie,D. S. THAKUR,BJP,23668
4,Dalhousie,DHIAN SINGH,CPI,720
4,Dalhousie,VIRENDER SHARMA,RAM,487
4,Dalhousie,None of the Above,NOTA,569
5,Bhattiyat                ,BIKRAM SINGH JARYAL,BJP,26934
5,Bhattiyat                ,KULDEEP SINGH PATHANIA,INC,20140
5,Bhattiyat                ,RAHUL RANPATIA,IND,586
5,Bhattiyat                ,NAGESH KUMAR,IND,465
5,Bhattiyat                ,None of the Above,NOTA,607
6,Nurpur                   ,RAKESH PATHANIA,BJP,29462
6,Nurpur                   ,AJAY MAHAJAN,INC,23775
6,Nurpur                   ,HARNAM SINGH,BSP,398
6,Nurpur                   ,None of the Above,NOTA,395
7,Indora,REETA DEVI,BJP,26596
7,Indora,KAMAL KISHORE,INC,26010
7,Indora,SUSHIL KUMAR,BSP,689
7,Indora,LAXMAN DASS,IND,467
7,Indora,BALWANT SINGH,IND,196
7,Indora,TILAK RAJ,IND,171
7,Indora,None of the Above,NOTA,611
8,Fatehpur,SUJAN SINGH PATHANIA,INC,15688
8,Fatehpur,KRIPAL SINGH PARMAR,BJP,14107
8,Fatehpur,BALDEV THAKUR,IND,12157
8,Fatehpur,DR. RAJAN SUSHANT,IND,5609
8,Fatehpur,OM PARKASH,BSP,743
8,Fatehpur,BIDHI CHAND SHARMA,IND,507
8,Fatehpur,RASAL SINGH,LGP,334
8,Fatehpur,DR. ASHOK KUMAR SOMAL,IND,316
8,Fatehpur,None of the Above,NOTA,280
9,Jawali,ARJUN SINGH,BJP,32465
9,Jawali,CHANDER KUMAR,INC,24615
9,Jawali,RAKESH KUMAR,IND,288
9,Jawali,RUSTAM SINGH,CPI,280
9,Jawali,MANJANA DEVI,BSP,224
9,Jawali,HARBANS LAL DHIMAN,,146
9,Jawali,None of the Above,NOTA,473
10,Dehra,HOSHYAR SINGH,IND,24206
10,Dehra,RAVINDER SINGH RAVI,BJP,20292
10,Dehra,VIPLOVE THAKUR,INC,8289
10,Dehra,MANOHAR LAL SHARMA,,393
10,Dehra,SUDESH CHOUDHARY,IND,337
10,Dehra,VIPAN CHAND,BSP,194
10,Dehra,None of the Above,NOTA,903
11,Jaswan-Pragpur,BIKRAM SINGH,BJP,19438
11,Jaswan-Pragpur,SURINDER SINGH MANKOTIA,INC,18380
11,Jaswan-Pragpur,HANS RAJ,IND,3247
11,Jaswan-Pragpur,GAGAN DEEP PRASHAR,IND,357
11,Jaswan-Pragpur,MUJESH KUMAR,IND,339
11,Jaswan-Pragpur,HOSHIAR SINGH,BSP,182
11,Jaswan-Pragpur,ANUP KUMAR,IND,65
11,Jaswan-Pragpur,OM PRAKASH,IND,39
11,Jaswan-Pragpur,AMIT KUMAR,IND,32
11,Jaswan-Pragpur,None of the Above,NOTA,281
12,Jawalamukhi  ,RAMESH CHAND DHAWALA,BJP,27914
12,Jawalamukhi  ,SANJAY RATTAN,INC,21450
12,Jawalamukhi  ,VIJENDER KUMAR (CHHUNKU),IND,3529
12,Jawalamukhi  ,PRATAP SINGH,IND,387
12,Jawalamukhi  ,None of the Above,NOTA,419
13,Jaisinghpur,RAVINDER KUMAR,BJP,29369
13,Jaisinghpur,YADVINDER GOMA,INC,18752
13,Jaisinghpur,KEHAR SINGH,BSP,1082
13,Jaisinghpur,MURLIDHAR,,440
13,Jaisinghpur,MOHINDER KUMAR,IND,387
13,Jaisinghpur,None of the Above,NOTA,246
14,Sullah,VIPIN SINGH PARMAR,BJP,30917
14,Sullah,JAGJIWAN PAUL,INC,23680
14,Sullah,VISHAL SINGH,IND,766
14,Sullah,LEKH RAJ,IND,655
14,Sullah,BIKRAM SINGH RANA,IND,401
14,Sullah,MOHINDER SINGH,BSP,329
14,Sullah,KUMARI VANDNA,IND,129
14,Sullah,None of the Above,NOTA,472
15,Nagrota                  ,ARUN KUMAR,BJP,26809
15,Nagrota                  ,G S BALI,INC,26290
15,Nagrota                  ,NAVNEET,IND,338
15,Nagrota                  ,PINKI DEVI,BSP,300
15,Nagrota                  ,None of the Above,NOTA,483
16,Kangra                   ,PAWAN KUMAR KAJAL,INC,25549
16,Kangra                   ,SANJAY CHAUDHARY,BJP,19341
16,Kangra                   ,DR. RAJESH SHARMA,IND,11805
16,Kangra                   ,COL.(RET.)  KULDIP SINGH,LGP,482
16,Kangra                   ,RAVI CHAND,NCP,408
16,Kangra                   ,VIJAY KUMAR,BSP,225
16,Kangra                   ,None of the Above,NOTA,656
17,Shahpur         ,SARVEEN CHOUDHARY,BJP,15936
17,Shahpur         ,MAJOR (RET.) VIJAI SINGH MANKOTIA,IND,13120
17,Shahpur         ,KEWAL SINGH PATHANIA,INC,12157
17,Shahpur         ,RAMESH KUMAR,IND,944
17,Shahpur         ,DESH RAJ CHAUDHARY,IND,785
17,Shahpur         ,BANARSI DASS DOGRA,BSP,385
17,Shahpur         ,None of the Above,NOTA,815
18,Dharamshala    ,KISHAN KAPOOR,BJP,26050
18,Dharamshala    ,SUDHIR SHARMA,INC,23053
18,Dharamshala    ,RAVINDER RANA,IND,2127
18,Dharamshala    ,PANKAJ KUMAR (PANKU),IND,1726
18,Dharamshala    ,KAMAL KUMAR,IND,1655
18,Dharamshala    ,PAWAN CHOUDHARY,BSP,471
18,Dharamshala    ,ASHWANI KAJAL,BMP,307
18,Dharamshala    ,DIGVIJAY PURI,IND,285
18,Dharamshala    ,VIKAS CHAUDHARY,IND,281
18,Dharamshala    ,ANUP DHIMAN,IND,273
18,Dharamshala    ,NISHA KATOCH,SWBP,133
18,Dharamshala    ,SUBHASH CHAND SHUKLA,IND,127
18,Dharamshala    ,None of the Above,NOTA,525
19,Palampur         ,ASHISH BUTAIL,INC,24252
19,Palampur         ,INDU GOSWAMI,BJP,19928
19,Palampur         ,PARVEEN KUMAR,IND,3198
19,Palampur         ,BAINI PARSHAD,IND,1760
19,Palampur         ,LEKH RAJ,CPIM,390
19,Palampur         ,SURESH KUMAR,IND,263
