AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Mandrem,DAYANAND RAGHUNATH SOPTE,INC,16490
1,Mandrem,LAXMIKANT PARSEKAR,BJP,9371
1,Mandrem,SHRIDHAR LADU MANJREKAR,MAG,678
1,Mandrem,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,AAP,620
1,Mandrem,RAJENDRA M. SATELKAR,NCP,234
1,Mandrem,SANJAY KRISHNARAO PRABHU DESAI,IND,101
1,Mandrem,BHIM RAGHUVIR PEDNEKAR,BMP,57
1,Mandrem,None of the Above,NOTA,415
2,Pernem ,AJGAONKAR MANOHAR TRIMBAK,MAG,15745
2,Pernem ,RAJENDRA ARLEKAR,BJP,9715
2,Pernem ,VIKESH RAMESH ASSOTIKAR,INC,1013
2,Pernem ,SHIVANAND KRISHNA PILARNKAR,AAP,308
2,Pernem ,GOPALDAS ANANT ARLEKAR,GVP,180
2,Pernem ,SANTOSH SHANKAR MANDREKAR,NCP,124
2,Pernem ,NITIN MOHAN CHOPDEKAR,BMP,105
2,Pernem ,DNYANESWAR SITARAM VARKHANKAR,GPP,71
2,Pernem ,None of the Above,NOTA,469
3,Bicholim,RAJESH PATNEKAR,BJP,10654
3,Bicholim,NARESH SAWAL,MAG,9988
3,Bicholim,MANOHAR PANDURANG SHIRODKAR,INC,1761
3,Bicholim,SAINATH PATEKAR,AAP,358
3,Bicholim,RAUT PANDURANG DATTARAM,GPP,324
3,Bicholim,None of the Above,NOTA,221
4,Tivim,NILKANTH RAMNATH HALARNKAR,INC,11099
4,Tivim,KIRAN MOHAN KANDOLKAR,BJP,10304
4,Tivim,PRADEEP AMONKAR GHADI,AAP,703
4,Tivim,DOUGLAS LAWRENCE SEQUEIRA,NCP,275
4,Tivim,None of the Above,NOTA,179
5,Mapusa,FRANCISCO C. J. A. DE PINTO E SOUZA,BJP,10957
5,Mapusa,VINOD FADKE,MAG,4129
5,Mapusa,VIJAY LAXMAN BHIKE,INC,3013
5,Mapusa,SHRADDHA KHALAP,AAP,2321
5,Mapusa,DOMNIC ALPHONSO,IND,1543
5,Mapusa,SANJAY VITHU BARDE,NCP,289
5,Mapusa,RAMESHWARI MORAJKAR,GSRP,103
5,Mapusa,None of the Above,NOTA,409
6,Siolim,VINODA DATARAMA PALIENCAR,GFP,10189
6,Siolim,DAYANAND RAYU MANDREKAR,BJP,8748
6,Siolim,VISHNU MHADDU NAIK,AAP,1854
6,Siolim,PATRICK SAVIO ALMEIDA,IND,1497
6,Siolim,PARESH RAIKAR,GSM,532
6,Siolim,ABHIJIT DHARGALKAR,NCP,275
6,Siolim,JANARDAN NARAHARI TAMHANKAR,BMP,116
6,Siolim,MUKESH SAWANT,IND,73
6,Siolim,None of the Above,NOTA,212
7,Saligao,JAYESH VIDYADHAR SALGAONKAR,GFP,9735
7,Saligao,DILIP PARULEKAR,BJP,7598
7,Saligao,AGNELO NICHOLAS FERNANDES,INC,1616
7,Saligao,DATTATRAYA VITTAL PADGAONKAR,AAP,1330
7,Saligao,RAJESH DABHOLKAR,SHI,428
7,Saligao,GAJANAN RAMA NAIK,CPI,150
7,Saligao,None of the Above,NOTA,171
8,Calangute,MICHAEL VINCENT LOBO,BJP,11136
8,Calangute,JOSEPH ROBERT SEQUEIRA,INC,7311
8,Calangute,GODWIN FERNANDES,AAP,1465
8,Calangute,None of the Above,NOTA,172
9,Porvorim,ROHAN KHAUNTE,IND,11174
9,Porvorim,GURUPRASAD R. PAWASKAR,BJP,6961
9,Porvorim,RAJESH VALVAIKAR,AAP,846
9,Porvorim,RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,MAG,222
9,Porvorim,WILBUR FREDRICK TICLO,IND,144
9,Porvorim,RAJU D'SOUZA,SJPCS,133
9,Porvorim,None of the Above,NOTA,176
10,Aldona,GLENN SOUZA TICLO,BJP,9405
10,Aldona,AMARNATH PANJIKAR,INC,4949
10,Aldona,ROSY URSULA D'SOUZA,AAP,3272
10,Aldona,MAHESH VITHU SATELKAR,MAG,3000
10,Aldona,ANANDRAO NARAYANRAO NAGVENKAR,IND,643
10,Aldona,OSBERT D'CUNHA,NCP,141
10,Aldona,None of the Above,NOTA,196
11,Panaji,SIDHARTH SRIPAD KUNCALIENKER,BJP,7924
11,Panaji,ATANASIO J. MONSERRATE,,6855
11,Panaji,VALMIKI NAIK,AAP,1944
