AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Khundrakpam (GEN),THOKCHOM LOKESHWAR SINGH,INC,12849
1,Khundrakpam (GEN),THANGJAM MOHENDRO SINGH,BJP,9790
1,Khundrakpam (GEN),YUMLEMBAM JOGENDRO,CPIM,129
1,Khundrakpam (GEN),LAIRENLAKPAM LALA SINGH,NPP,36
1,Khundrakpam (GEN),None of the Above,NOTA,92
2,Heingang (GEN),NONGTHOMBAM BIREN SINGH,BJP,10439
2,Heingang (GEN),PANGEIJAM SARATCHANDRA SINGH,AITC,9233
2,Heingang (GEN),NAOROIBAM RATAN MEETEI (KAPU),INC,7329
2,Heingang (GEN),DR. GURUMAYUM TONSANA SHARMA,MDPF,113
2,Heingang (GEN),THOKCHOM ROMEO SINGH,IND,91
2,Heingang (GEN),YENGKOKPAM PRIYOKUMAR SINGH,,59
2,Heingang (GEN),None of the Above,NOTA,130
3,Khurai (GEN),LEISHANGTHEM SUSINDRO MEITEI,BJP,15005
3,Khurai (GEN),DR. NGAIRANGBAM BIJOY SINGH,INC,13061
3,Khurai (GEN),R.K.AMUSANA,CPI,800
3,Khurai (GEN),None of the Above,NOTA,322
4,Kshetrigao ,NAHAKPAM INDRAJIT SINGH,BJP,10411
4,Kshetrigao ,MD. AMIN SHAH,INC,10031
4,Kshetrigao ,TH. NANDAKISHOR SINGH,MNDF,9190
4,Kshetrigao ,VIVEKRAJ WANGKHEM,NPP,281
4,Kshetrigao ,MD. AZIZUL HAGUE KHAN,,80
4,Kshetrigao ,MD. ABIR KHAN,AIFB,69
4,Kshetrigao ,MD. ZAMEER AHMED,AITC,67
4,Kshetrigao ,None of the Above,NOTA,174
5,Thongju ,THONGAM BISWAJIT SINGH,BJP,16809
5,Thongju ,THOKCHOM AJIT SINGH,INC,9508
5,Thongju ,L. GEETARANJAN SHARMA,AITC,131
5,Thongju ,None of the Above,NOTA,398
6,Keirao ,LOUREMBAM RAMESHWOR MEETEI,BJP,5959
6,Keirao ,MD. NASIRUDDIN KHAN,IND,5421
6,Keirao ,KARAM THAMARJIT SINGH,INC,4715
6,Keirao ,THONGRAM GOPEN,NEIDP,4477
6,Keirao ,MD. ISLAMUDDIN KHAN,NCP,3241
6,Keirao ,TAKHELLAMBAM SAMANANDA SINGH,LJSP,1446
6,Keirao ,NINGTHOUJAM ITOMBA MEETEI,MNDF,685
6,Keirao ,MD. WAHIDUR RAHMAN,IND,106
6,Keirao ,None of the Above,NOTA,80
7,Andro ,THOUNAOJAM SHYAMKUMAR,INC,18761
