AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Sujanpur ,DINESH SINGH,BJP,48910
1,Sujanpur ,AMIT SINGH,INC,30209
1,Sujanpur ,NARESH PURI,IND,28675
1,Sujanpur ,NATHA SINGH,RMPI,10581
1,Sujanpur ,KULBHUSHAN SINGH,AAP,2831
1,Sujanpur ,KARNAIL CHAND,BSP,1083
1,Sujanpur ,ROMESH SINGH JASROTIA,APP,908
1,Sujanpur ,SAURAB DUBEY,SHI,701
1,Sujanpur ,GURU DUTT SHARMA,IND,463
1,Sujanpur ,None of the Above,NOTA,1008
2,Bhoa,JOGINDER PAL,INC,67865
2,Bhoa,SEEMA KUMARI,BJP,40369
2,Bhoa,LAL CHAND KATARUCHAK,RMPI,13353
2,Bhoa,AMARJEET SINGH,AAP,3767
2,Bhoa,MAHASHA VINOD KUMAR,IND,750
2,Bhoa,CHAIN SINGH,BSP,695
2,Bhoa,BALBIR RAM FATEHPURIA,IND,657
2,Bhoa,MASTER SAMPURAN SINGH SAIDIPUR,AITC,643
2,Bhoa,BALBIR SINGH,HUP,465
2,Bhoa,LUBHAYA RAM,IND,458
2,Bhoa,ANIKA RAY,APP,367
2,Bhoa,DHARMINDER KUMAR,IND,358
2,Bhoa,SURINDER KUMAR KALOTRA,IND,302
2,Bhoa,DALIP SINGH SURAJVANSHI ADVOCATE,IND,221
2,Bhoa,BOBBY SANDHU,SHI,219
2,Bhoa,GEETA,IND,148
2,Bhoa,None of the Above,NOTA,454
3,Pathankot,AMIT,INC,56383
3,Pathankot,ASHWANI KUMAR,BJP,45213
3,Pathankot,RAJ KUMAR,AAP,6036
3,Pathankot,ASHOK SHARMA,IND,703
3,Pathankot,ANKUR KHAJURIA,BSP,470
3,Pathankot,SAT PAL,SHI,352
3,Pathankot,RAMAN PAL,IND,277
3,Pathankot,SUNITA DEVI,APP,185
3,Pathankot,RAVI KUMAR,HUP,176
3,Pathankot,KIRAN BALA,HSS,151
3,Pathankot,None of the Above,NOTA,907
4,Gurdaspur ,BARINDERMEET SINGH PAHRA,INC,67709
4,Gurdaspur ,GURBACHAN SINGH BABEHALI,SAD,38753
4,Gurdaspur ,AMARJIT SINGH CHAHAL,AAP,6949
4,Gurdaspur ,SUCHA SINGH CHHOTEPUR,APP,1740
4,Gurdaspur ,SANDEEP KUMAR,HSS,618
4,Gurdaspur ,MAJOR SOM NATH,BSP,564
4,Gurdaspur ,PANKAJ,HUP,270
4,Gurdaspur ,SWARANJIT SINGH,IND,194
4,Gurdaspur ,None of the Above,NOTA,593
5,Dina Nagar,ARUNA CHAUDHARY,INC,72176
5,Dina Nagar,BISHAN DASS,BJP,40259
5,Dina Nagar,JOGINDER SINGH,AAP,10258
5,Dina Nagar,SUBASH CHANDER,CPI,2937
5,Dina Nagar,RAJ KUMAR,IND,1436
5,Dina Nagar,SARWAN SINGH,APP,735
5,Dina Nagar,RAJ KUMAR,BSP,584
5,Dina Nagar,KASHMIR CHAND,IND,514
5,Dina Nagar,RAJINDER KUMAR,HUP,395
5,Dina Nagar,None of the Above,NOTA,1231
6,Qadian,FATEHJANG SINGH BAJWA,INC,62596
6,Qadian,SEWA SINGH,SAD,50859
6,Qadian,KANWAL PREET SINGH,AAP,14657
6,Qadian,MOHINDER SINGH,BSP,518
6,Qadian,GURBACHAN SINGH,SADM,436
6,Qadian,KULWANT SINGH,IND,406
6,Qadian,ABHIJIT DUGAL,IND,303
6,Qadian,VIJAY KUMAR,CPIML,293
6,Qadian,CHARANJIT KAUR,IND,276
6,Qadian,ROHIT GUPTA,HSS,232
6,Qadian,KULWANT SINGH,APP,215
6,Qadian,RAMAN KUMAR,HUP,85
6,Qadian,None of the Above,NOTA,953
7,Batala ,LAKHBIR SINGH LODHINANGAL,SAD,42517
7,Batala ,ASHWANI SEKHRI,INC,42032
7,Batala ,GURPREET SINGH GHUGGI,AAP,34302
7,Batala ,INDER SEKHRI,APP,691
7,Batala ,GURPREET SINGH GHULLI,IND,622
7,Batala ,BAKHSHIS SINGH,BSP,546
7,Batala ,SANJEEV KUMAR MALHAN,IND,444
7,Batala ,ANIL MAHAJAN,IND,357
7,Batala ,AVTAR SINGH,CPIM,356
7,Batala ,LAKHBIR SINGH,IND,243
7,Batala ,ASHWANI KUMAR,IND,226
7,Batala ,SANTOSH KUMAR,IND,197
