AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Purola,RAJKUMAR,INC,17798
1,Purola,MALCHAND,BJP,16785
1,Purola,DURGESHWAR LAL,IND,13508
1,Purola,RAMLAL,BSP,679
1,Purola,None of the Above,NOTA,762
2,Yamunotri,KEDAR SINGH,BJP,19800
2,Yamunotri,SANJAY DOBHAL,INC,13840
2,Yamunotri,PRAKASH CHAND RAMOLA,IND,7061
2,Yamunotri,RANVEER SINGH,IND,4613
2,Yamunotri,RAJBAHADUR SINGH BAUDDH,BSP,530
2,Yamunotri,JAIPRAKASH,SVP,342
2,Yamunotri,DHARMANAND BIJALWAN,IND,248
2,Yamunotri,PURUSHOTTAM UNIYAL,UKD,246
2,Yamunotri,None of the Above,NOTA,424
3,Gangotri,GOPAL SINGH RAWAT,BJP,25683
3,Gangotri,VIJAYPAL SINGH SAJWAN,INC,16073
3,Gangotri,SURATRAM NAUTIYAL,IND,9491
3,Gangotri,BHUPENDRA SINGH,IND,1526
3,Gangotri,VIJAYPAL TANGANI,BSP,576
3,Gangotri,MAHAVEER PRASAD,CPI,553
3,Gangotri,RAJBEER SINGH PARMAR,RJSD,412
3,Gangotri,RATAN LAL VERMA,IND,213
3,Gangotri,VISHNUPAL SINGH RAWAT,UKD,192
3,Gangotri,None of the Above,NOTA,933
4,Badrinath,MAHENDRA BHATT,BJP,29676
4,Badrinath,RAJENDRA SINGH BHANDARI,INC,24042
4,Badrinath,BHARAT SINGH KUNWAR,CPI,2380
4,Badrinath,VINOD FONIA,IND,2370
4,Badrinath,MUKESH LAL KOSHWAL,BSP,1652
4,Badrinath,ARUNA DANWASHI,IND,916
4,Badrinath,KEERAT SINGH BHANDARI,SP,859
4,Badrinath,DEVENDRA SINGH NEGI,UKD,487
4,Badrinath,LAXMI PRASAD SATI,IND,335
4,Badrinath,None of the Above,NOTA,691
5,Tharali,MAGAN LAL SHAH,BJP,25810
5,Tharali,DR. JEET RAM,INC,20889
5,Tharali,GUDDU LAL,IND,7088
5,Tharali,MOHAN LAL KANYAL,BSP,848
5,Tharali,RAJPAL KANYAL,CPIM,750
5,Tharali,CAPT. (RETD) GANESH KUMAR,IND,591
5,Tharali,KASBI LAL SHAH,UKD,335
