AC_NO,AC_NAME,NAME,PARTY,VOTES
1,Behat,NARESH SAINI,INC,97035
1,Behat,MAHAVEER SINGH RANA,BJP,71449
1,Behat,MOHD. IQBAL,BSP,71019
1,Behat,RANA ADITYA PRATAP SINGH,IND,4187
1,Behat,KAMRAN ALI,BSMP,1255
1,Behat,ARUN,RLD,1150
1,Behat,HARDHYAN,IND,1113
1,Behat,GOPAL SINGH,IND,945
1,Behat,KRISHNA KUMAR,IND,810
1,Behat,KALYAN SINGH,IND,659
1,Behat,LOKESH VERMA,BTSP,617
1,Behat,SAKEEM KHAN,BMP,425
1,Behat,KARM SINGH,IND,319
1,Behat,None of the Above,NOTA,1576
2,Nakur,DR.DHARAM SINGH SAINI,BJP,94375
2,Nakur,IMRAN MASOOD,INC,90318
2,Nakur,NAVEEN CHOUDHARY,BSP,65328
2,Nakur,KAMAL GARG,IND,944
2,Nakur,VIJAYPAL SINGH,IND,814
2,Nakur,RAJPAL SINGH,IND,813
2,Nakur,RAMKUMAR,RLD,783
2,Nakur,PARVESH KUMAR,AMSP,295
2,Nakur,RAJIV SAINI,BMP,245
2,Nakur,INDU,IND,245
2,Nakur,ARVIND,IND,140
2,Nakur,None of the Above,NOTA,1232
3,Saharanpur Nagar,SANJAY GARG,SP,127210
3,Saharanpur Nagar,RAJIV GUMBER,BJP,122574
3,Saharanpur Nagar,MUKESH DIXIT,BSP,17350
3,Saharanpur Nagar,BHOORA MALIK,RLD,934
3,Saharanpur Nagar,TALAT KHAN,AIMIM,693
3,Saharanpur Nagar,SHABNAM,IND,594
3,Saharanpur Nagar,ZAINUL AABIDEEN SIDDIQUI,PBI,494
3,Saharanpur Nagar,ROSHAN SINGH,IND,409
3,Saharanpur Nagar,BHARAT RAJ,BMP,386
3,Saharanpur Nagar,SHIV KUMAR GUPTA,IND,286
3,Saharanpur Nagar,SHIV KUMAR,SJRP,265
3,Saharanpur Nagar,VINAY DHIMAN,OP,255
3,Saharanpur Nagar,RAVINDER ARORA,SHI,223
3,Saharanpur Nagar,MOHD.MURSLEEN,IND,161
3,Saharanpur Nagar,None of the Above,NOTA,675
4,Saharanpur  ,MASOOD AKHTAR,INC,87689
4,Saharanpur  ,JAGPAL SINGH,BSP,75365
4,Saharanpur  ,MANOJ CHAUDHARY,BJP,58752
4,Saharanpur  ,SAAD ALI KHAN,IND,10950
4,Saharanpur  ,AYYUB HASAN,RLD,822
4,Saharanpur  ,AMJAD ALI,LD,774
4,Saharanpur  ,SHABNOOR BEGUM,IND,596
4,Saharanpur  ,VIKRAM SAINI,IND,399
4,Saharanpur  ,PARVESH KUMAR,IND,376
4,Saharanpur  ,SULEMAN,BMP,256
4,Saharanpur  ,SACHIN KUMAR,BTSP,220
4,Saharanpur  ,BABLU,AMSP,155
4,Saharanpur  ,NAUSHAD,JAP,146
4,Saharanpur  ,None of the Above,NOTA,968
5,Deoband,BRIJESH,BJP,102244
5,Deoband,MAJID ALI,BSP,72844
5,Deoband,MAVIA ALI,SP,55385
5,Deoband,BHUPESHWAR TYAGI,RLD,1132
5,Deoband,DHARMAVIR,BMP,651
5,Deoband,RAKESH VERMA,BTSP,598
5,Deoband,UMAR NAWAZ,IND,415
5,Deoband,ZAHIR FATMA,IND,239
5,Deoband,None of the Above,NOTA,798
6,Rampur Maniharan ,DEVENDER KUMAR NIM,BJP,76465
6,Rampur Maniharan ,RAVINDRA KUMAR MOLHU,BSP,75870
6,Rampur Maniharan ,VISHVA DAYAL CHHOTAN,INC,61787
6,Rampur Maniharan ,DAYAWATI CHAUDHRY,RLD,696
6,Rampur Maniharan ,BIJENDRA,IND,689
6,Rampur Maniharan ,REKHA,IND,579
6,Rampur Maniharan ,ARVIND JHANJHOT,RGD,523
6,Rampur Maniharan ,SURESH KUMAR,BMP,475
6,Rampur Maniharan ,ANJU BALA,BTSP,391
6,Rampur Maniharan ,BABY,KISJP,256
6,Rampur Maniharan ,KM.LATA,IVD,244
6,Rampur Maniharan ,None of the Above,NOTA,856
7,Gangoh,PRADEEP KUMAR,BJP,99446
7,Gangoh,NAUMAN MASOOD,INC,61418
7,Gangoh,INDER SAIN,SP,47219
7,Gangoh,MAHIPAL SINGH MAJRA,BSP,44717
7,Gangoh,RAJNESH CHAUHAN,RLD,1054
7,Gangoh,YATENDERA,IND,609
7,Gangoh,SATNAM SINGH,SSP,579
7,Gangoh,KAWAR PAL,IND,526
7,Gangoh,VIKAS KUMAR,IND,475
7,Gangoh,SONU VERMA,BTSP,364
7,Gangoh,None of the Above,NOTA,971
8,Kairana,NAHID HASAN,SP,98830
8,Kairana,MRIGANKA SINGH,BJP,77668
8,Kairana,ANIL KUMAR,RLD,19992
8,Kairana,DIWAKAR DESHWAL,BSP,6888
8,Kairana,MASEEHULLA,AIMIM,1365
8,Kairana,SARFARAJ KHAN,LD,1127
8,Kairana,SETHPAL,IND,623
8,Kairana,DHARMVEER,IND,545
8,Kairana,VINOD KUMAR,IND,496
8,Kairana,SAHENDRA PAL,BVP,290
8,Kairana,SANDEEP,BMP,250
8,Kairana,None of the Above,NOTA,1060
9,Thana Bhawan,SURESH KUMAR,BJP,90995
9,Thana Bhawan,ABDUL WARIS KHAN,BSP,74178
9,Thana Bhawan,JAVED RAO,RLD,31275
9,Thana Bhawan,SUDHIR KUMAR,SP,13480
9,Thana Bhawan,MOHD NASIR,BMP,561
9,Thana Bhawan,RAHAT ALI,IND,378
9,Thana Bhawan,SUNIL,IND,318
9,Thana Bhawan,SAHDEV,IND,225
9,Thana Bhawan,MANJU,IND,210
9,Thana Bhawan,PARVEZ ALI,IND,188
9,Thana Bhawan,None of the Above,NOTA,883
10,Shamli,TEJENDRA NIRWAL,BJP,70085
10,Shamli,PANKAJ KUMAR MALIK,INC,40365
10,Shamli,BIJENDRA SINGH,RLD,33551
10,Shamli,MANISH KUMAR,IND,31824
10,Shamli,MOHAMMAD ISLAM,BSP,17114
10,Shamli,BILAL A,PP,820
10,Shamli,SANJEEV KUMAR,IND,379
10,Shamli,SANJEEV,IND,294
10,Shamli,MOHD. GUFRAN KAZMI,IND,294
10,Shamli,ARVIND KUMAR,BMP,278
10,Shamli,OMPAL,BJDT,233
10,Shamli,LOKENDRA KUMAR,IND,209
10,Shamli,None of the Above,NOTA,901
11,Budhana,UMESH MALIK,BJP,97781
11,Budhana,PRAMOD TYAGI,SP,84580
11,Budhana,SAEEDA BEGAM,BSP,30034
11,Budhana,YOGRAJ SINGH,RLD,23732
11,Budhana,SHOBHA RAM,IND,699
11,Budhana,MOHD. RASHEED KASSAR,IND,666
11,Budhana,DINESH KUMAR,NISHAD,611
11,Budhana,JAMEEL,NLP,400
11,Budhana,MANOJ,RKMP,361
11,Budhana,RIZWAN,IND,276
11,Budhana,CH. RAJKUMAR BALIYAN,IND,222
11,Budhana,SUMAT PAL KASHYAP,SHI,145
11,Budhana,JAGAPAL,IND,136
11,Budhana,ANIL,IND,106
11,Budhana,MOHD. GULAFAM,IND,81
11,Budhana,None of the Above,NOTA,1286
12,Charthawal,VIJAY KUMAR KASHYAP,BJP,82046
12,Charthawal,MUKESH KUMAR CHAUDHARY,SP,58815
12,Charthawal,NOOR SALEEM RANA,BSP,47704
12,Charthawal,SALMAN ZAIDI,RLD,14442
12,Charthawal,VISHAL KUMAR,NISHAD,975
12,Charthawal,AMITA SINGH,LD,549
12,Charthawal,ADESH KUMAR,IND,444
12,Charthawal,FURAKAN,IND,385
12,Charthawal,JAIPAL SINGH SAINI,JP,305
12,Charthawal,ARSAD MANSURI,ABVCP,281
12,Charthawal,None of the Above,NOTA,1018
13,Purqazi ,PRAMOD UTWAL,BJP,77491
13,Purqazi ,DEEPAK KUMAR,INC,66238
13,Purqazi ,ANIL KUMAR,BSP,46401
13,Purqazi ,CHOTI,RLD,8227
13,Purqazi ,UMA KIRAN,SP,2570
13,Purqazi ,KAVITA,NISHAD,871
13,Purqazi ,ANIL KUMAR,BMP,579
13,Purqazi ,MANOJ KUMAR,IND,298
13,Purqazi ,MITVA BHANVAR,NLP,260
13,Purqazi ,AATMARAM,IND,245
13,Purqazi ,None of the Above,NOTA,1139
14,Muzaffar Nagar,KAPIL DEV AGARWAL,BJP,97838
14,Muzaffar Nagar,GAURAV SWARUP BANSAL,SP,87134
14,Muzaffar Nagar,RAKESH KUMAR SHARMA,BSP,21038
14,Muzaffar Nagar,PAYAL MAHESHWARI,RLD,5640
14,Muzaffar Nagar,SANGITA,IND,1008
14,Muzaffar Nagar,MURTAZA SALMANI,CPI,491
14,Muzaffar Nagar,SHAHZAMA KHAN,IND,249
14,Muzaffar Nagar,ZAKIR ALI RANA,IND,240
14,Muzaffar Nagar,RAJ KISHOR,IND,199
14,Muzaffar Nagar,KRISHAN PAL SINGH,BLSP,177
14,Muzaffar Nagar,JAMSHED,IND,131
14,Muzaffar Nagar,KARAN SINGH SAINI,JP,92
14,Muzaffar Nagar,REENU ALIAS SAKSHI,ABHM,81
14,Muzaffar Nagar,BABITA,BRJ,55
14,Muzaffar Nagar,SANJAY KUMAR,BJDT,52
14,Muzaffar Nagar,RISHI RAM,IND,44
14,Muzaffar Nagar,None of the Above,NOTA,1133
15,Khatauli,VIKRAM SINGH,BJP,94771
15,Khatauli,CHANDAN SINGH CHAUHAN,SP,63397
15,Khatauli,SHIVAN SINGH SAINI,BSP,37380
15,Khatauli,SHAHNAWAZ RANA,RLD,12846
15,Khatauli,BRAHM SINGH,CPI,823
15,Khatauli,JANARDAN SHARMA,HUP,626
15,Khatauli,YAJPAL,IND,598
15,Khatauli,SURENDRA KUMAR,ABHM,332
15,Khatauli,ADESH,BBPP,315
15,Khatauli,DEEPAK KUMAR,IND,315
15,Khatauli,BHARATVIR,IND,312
15,Khatauli,AASHI GAUR,LD,207
15,Khatauli,SATAYVEER SINGH,IND,201
15,Khatauli,BRAJ BHUSHAN,BSDP,148
15,Khatauli,MAYA,ABVCP,131
15,Khatauli,None of the Above,NOTA,694
16,Meerapur,AVTAR SINGH BHADANA,BJP,69035
16,Meerapur,LIYAKAT ALI,SP,68842
16,Meerapur,NAWAZISH ALAM KHAN,BSP,39689
16,Meerapur,MITHLESHPAL,RLD,22751
16,Meerapur,SANDEEP KUMAR,NISHAD,474
16,Meerapur,IMRANA,ABVCP,462
16,Meerapur,MOH. MOOSA,IND,451
16,Meerapur,NABAB ALI,IND,305
16,Meerapur,MOH. JISHAN,BMP,292
16,Meerapur,ADESH KUMAR,IND,238
16,Meerapur,MANOJ SAINI,SHI,237
16,Meerapur,MOTIRAM,MKUP,200
16,Meerapur,DHARAMVEER SINGH SAINI,JP,174
16,Meerapur,ANJUM KAMAL,IND,165
16,Meerapur,None of the Above,NOTA,1090
17,Najibabad,TASLEEM AHMAD,SP,81082
17,Najibabad,RAJIV KUMAR AGARWAL,BJP,79080
17,Najibabad,JAMEEL AHMAD,BSP,45070
17,Najibabad,LEENA SINGHAL,RLD,3587
17,Najibabad,TAZEEM SIDDIQUI,AIMIM,2094
17,Najibabad,UMESH KUSHWAHA DANI,IND,848
17,Najibabad,DHARA SINGH,IND,784
17,Najibabad,SAMPURNANAND PANDEY,SOSP,447
17,Najibabad,ASARPAT SINGH,IND,439
17,Najibabad,ASHFAK MAHIGEER,ADP,393
17,Najibabad,HEMENDRA,BMF,237
17,Najibabad,KULDEEP,BBPP,184
17,Najibabad,MOHD UMAR,GKP,175
17,Najibabad,None of the Above,NOTA,1516
18,Nagina ,MANOJ KUMAR PARAS,SP,77145
18,Nagina ,OMWATI DEVI,BJP,69178
18,Nagina ,VIRENDRA PAL,BSP,49693
18,Nagina ,NEELAM,AIMIM,4385
18,Nagina ,DR.PHOOL SINGH CHAUDHARY,PP,2541
18,Nagina ,YADRAM SINGH CHANDEL,RLD,2113
18,Nagina ,CHANDRVIR SINGH,IND,685
18,Nagina ,VIJAY,IND,636
18,Nagina ,MANOHAR,IND,555
18,Nagina ,CHIRANJEE  LAL,RLSP,493
18,Nagina ,JAGDISH SINGH,IND,449
18,Nagina ,SARVESH ALIAS SHABNAM,VIP,287
18,Nagina ,SAPNA,NAMP,171
18,Nagina ,SATENDRA KUMAR,GKP,141
18,Nagina ,None of the Above,NOTA,1431
19,Barhapur,SUSHANT KUMAR,BJP,78744
19,Barhapur,HUSAIN AHMAD,INC,68920
19,Barhapur,FAHAD YAZDANI,BSP,50684
19,Barhapur,DR INDRA DEV SINGH,IND,6190
19,Barhapur,RADHA,RLD,3449
19,Barhapur,KULVEER SINGH,IND,3164
19,Barhapur,NIHAL SINGH,BHP,1586
19,Barhapur,ABID ANSARI,IND,1468
19,Barhapur,TAHIR HUSAIN,IND,1110
19,Barhapur,NIRMAL MISHRA,IND,963
19,Barhapur,AJAY KUMAR,GKP,845
19,Barhapur,MONIKA AHLAWAT,IND,748
19,Barhapur,ROHITASH,IND,596
19,Barhapur,BIRJESH,PP,562
19,Barhapur,CHANDRA SHEKHAR,IND,524
19,Barhapur,GAJALA TAUSIF,IND,409
19,Barhapur,JAYPAL SINGH,IND,358
19,Barhapur,TODA SINGH,BSS,345
19,Barhapur,SAMLESH SAINI,RLSP,277
19,Barhapur,SHAILENDRA PRATAP,IND,253
19,Barhapur,MUKUL,IND,206
19,Barhapur,SADHANA SINGH,IND,192
19,Barhapur,None of the Above,NOTA,556
20,Dhampur,ASHOK KUMAR RANA,BJP,82169
20,Dhampur,THA. MOOL CHAND CHAUHAN,SP,64305
20,Dhampur,MUHAMMAD GHAZI,BSP,42836
20,Dhampur,NAIMUDDIN,RLD,659
20,Dhampur,FIRASAT,ANC,519
20,Dhampur,KAMPI,BMF,467
20,Dhampur,LAXMAN,IND,349
20,Dhampur,MOHD. DANISH,IND,342
20,Dhampur,BHOOPENDRA KUMAR,AKSP,295
20,Dhampur,None of the Above,NOTA,1020
21,Nehtaur,OMKUMAR,BJP,76644
21,Nehtaur,MUNNALAL PREMI,INC,53493
21,Nehtaur,VIVEK SINGH,BSP,47059
21,Nehtaur,CHANDRAPAL SINGH,RLD,6486
